name,station
Mixt,Montgomery St
Reem’s California - Mission,24th St/Mission
Cairo Station Cafe,19th St/Oakland
19th Street Station,19th St/Oakland
Aroma Bakery & Cafe,19th St/Oakland
Dim the Way,Balboa Park
Bravo Pizza,Balboa Park
Teazzert Pho You,Balboa Park
The Avenue,MacArthur
Sfizio,Rockridge
Silver Café,Glen Park
Pica Pica,16th St/Mission
Blue Bottle Coffee,Montgomery St
Foccacia,Millbrae
Great China,Downtown Berkeley
Yali's Cafe,Downtown Berkeley
Xolo Taqueria,19th St/Oakland
Bir Kitchen,24th St/Mission
AsiaSF,Civic Center/UN Plaza
Curry Up Now,19th St/Oakland
Feng Cha,Powell St
Lao Table,Montgomery St
Uno dos tacos,Montgomery St
Chatz Coffee,Montgomery St
Luke’s Lobster,Montgomery St
Working Girls’ Cafe,Montgomery St
Village Tea House,Montgomery St
Vida Cantina,Montgomery St
Starbucks,Montgomery St
Eden Plaza Cafe,Lake Merritt
Home of Chicken & Waffles,Lake Merritt
Modi,Montgomery St
Cotogna,Embarcadero
Burma Love,Powell St
Mission Chinese Food,16th St/Mission
Amazona's Pizza,19th St/Oakland
Sana'a Cafe,12th St/Oakland City Center
Scooter's,Pittsburg/Bay Point
Lotus Cafe,Union City
Bar Sprezzatura,Embarcadero
Cafe Madeleine,Montgomery St
The Sentinel,Montgomery St
zevi café & bistro,Powell St
The Harlequin,Powell St
Bird & Buffalo,MacArthur
The Wood Tavern,Rockridge
Khana Peena,Rockridge
Ryoko's,Powell St
Ippuku,Downtown Berkeley
Athenian Deli and Cafe,19th St/Oakland
The Bird,Montgomery St
Kaiwa Sushi,Walnut Creek
Crepes Oh-la-la,Walnut Creek
Locust Street Cafe,Walnut Creek
La Playa,16th St/Mission
Sharo,Walnut Creek
Sens,Embarcadero
Tadich Grill,Embarcadero
Juice Appeal,Downtown Berkeley
Marhabah,12th St/Oakland City Center
Molcajete,19th St/Oakland
Roxanne Cafe,Powell St
Lori's Diner,Powell St
The Function,Civic Center/UN Plaza
Starbucks,Civic Center/UN Plaza
Pampas Cafe,Castro Valley
Sapphire,Embarcadero
Tin,Powell St
Peet's Coffee,El Cerrito Plaza
Grand Golden Bay Seafood,Union City
Strizzis,Fremont
Viridian,19th St/Oakland
Lulu Cafe,19th St/Oakland
World Famous HotBoys,12th St/Oakland City Center
Rose Garden Uptown,19th St/Oakland
Naan n Curry,12th St/Oakland City Center
Mama T's,19th St/Oakland
Zino,Downtown Berkeley
Sconehenge,Ashby
Peet's Coffee,Hayward
Los Pericos,Hayward
Taqueria Maria,Colma
Shooting Star Cafe,12th St/Oakland City Center
Cam Huong Bakery,12th St/Oakland City Center
Ippudo,Downtown Berkeley
Chutney,Powell St
Murales Wine Bar & Tapas,16th St/Mission
AC Lounge,12th St/Oakland City Center
Stable Cafe,16th St/Mission
The View Lounge,Powell St
Pie Punks,Montgomery St
