name,station
Whole Foods Market,16th St/Mission
Safeway,Rockridge
Mobile Kangaroo,Downtown Berkeley
Grooves Inspiralled Vinyl,16th St/Mission
Dessert N Spice,Downtown Berkeley
Broken Guitars,MacArthur
Love Again Fabrics,Rockridge
Eddie's Liquor Video,Rockridge
Pavé,Rockridge
Market Hall Bakery,Rockridge
Billingsgate Seafood,Rockridge
Wildflower & Fern,Rockridge
The Pasta Shop,Rockridge
Tailors Keep,Embarcadero
Elegant Nails,Rockridge
Bing's Salon,Rockridge
Rockridge Home,Rockridge
,Rockridge
Chic,Rockridge
Rockridge Barber Shop,Rockridge
Germany's Best Auto,Rockridge
Out of the Closet,Civic Center/UN Plaza
dj bath plus,Civic Center/UN Plaza
Houseplants and Plant Essentials,Civic Center/UN Plaza
design +,Civic Center/UN Plaza
Site for Sore Eyes,12th St/Oakland City Center
Warm Planet Bikes,Civic Center/UN Plaza
Trolley-bus Flowers,Embarcadero
Verizon,Powell St
FedEx Office,Fruitvale
Green Twig Salon,24th St/Mission
Golden Market,24th St/Mission
R Image Market,24th St/Mission
Everlane,16th St/Mission
Candle Light Shop,24th St/Mission
Tower Cleaners,El Cerrito Plaza
The Mission's Barbershop,24th St/Mission
San Pancho Cannabis Club by OFL,16th St/Mission
Beckett & Robb,Embarcadero
Panadería La Mejor,24th St/Mission
Bageltopia,North Berkeley
Evan Kinori,24th St/Mission
The Alchemist Barbershop,24th St/Mission
Lemon Twist,24th St/Mission
Mister Lee’s San Francisco Style Laundry,24th St/Mission
Advanced Auto weeks,24th St/Mission
Sparkle SF,24th St/Mission
La Tira Wax Studio,24th St/Mission
Pasteleria La Favorita,Fruitvale
Cricket Wireless,Downtown Berkeley
Desi Cuts and Color Plus,Union City
Haafiz Food Mart,Union City
Kim's Hair Salon,Union City
Metro by T-Mobile,Union City
Pure Agua,Union City
Target,Powell St
ApplenBerry,12th St/Oakland City Center
Queen Hippie Gypsy,12th St/Oakland City Center
Oakland Flower Market,12th St/Oakland City Center
Acme Fire Extinguisher Company,Fruitvale
Arun,24th St/Mission
Sips the Bottle Emporium,North Berkeley
One Hour Martinizing,North Berkeley
The Optician,Downtown Berkeley
Advance Auto Repair,Powell St
Pet Food Express,El Cerrito del Norte
Nike,Powell St
South Berkeley Produce & Meat Market,Ashby
RadioShack,Fruitvale
Naming Gallery,12th St/Oakland City Center
Orion Custom Framing,24th St/Mission
FedEx Office,Montgomery St
Mejuri,Civic Center/UN Plaza
Pine-Taylor Market,Powell St
Nomad Rugs,24th St/Mission
Best Cleaners,24th St/Mission
New Star Market,16th St/Mission
Breaking Bread,Embarcadero
Cool Neon - Funhouse Productions,West Oakland
F & G Grocery,16th St/Mission
Verizon,San Bruno
Mattress Firm,San Bruno
Dublin Mazda Service,Dublin/Pleasanton
FH Dailey Chevrolet,San Leandro
VIP Auto Collision Repair,19th St/Oakland
Diving Swallow,12th St/Oakland City Center
True Value Eastern Supply,Ashby
The Model Garage,Ashby
,Ashby
Wheelchairs of Berkeley,Ashby
SOS Auto Service,Ashby
Headquarters,Ashby
Shattuck Auto Collision Center,Ashby
The Dry Garden,Ashby
Santini Tours,Ashby
EZ Laundry,Ashby
Lee's Market,Ashby
Angie's Hair Salon,24th St/Mission
Buffalo Exchange,24th St/Mission
Cut Loose Factory Outlet,24th St/Mission
KitTea Cat Lounge & Gift Shop,24th St/Mission
Eye Thrift,24th St/Mission
Shop College Wear.com,Downtown Berkeley
Out of the Closet,North Berkeley
The Fruit Basket,MacArthur
Mission Ink,24th St/Mission
Gazebo Smoke Shop,Powell St
DC Smoke Shop,Daly City
Socola,Montgomery St
Verizon,Downtown Berkeley
Site for Sore Eyes,Downtown Berkeley
Berkeley Luggage,Downtown Berkeley
T-Mobile,Downtown Berkeley
Ponzo Charles Dimensions in Hair for Men and Women,Rockridge
Target,Downtown Berkeley
Choice Korner,Lake Merritt
California Wholesale Florist,12th St/Oakland City Center
Couture,Powell St
Jewlery Collection,Powell St
Golden Gate Rides,Powell St
Atelier Emmanuel Salon and Day Spa,Montgomery St
Liquor and Deli Mini Mart,Montgomery St
Boba Guys,Montgomery St
Vapor Smoke Shop,Montgomery St
Pete's Cleaner,Montgomery St
Shoe & Bag Repair,Montgomery St
The Green Door Massage,Montgomery St
Moth & Dagger Tattoo,Montgomery St
Union Square Wine & Spirts,Powell St
Sutter Nails,Powell St
Elite Spa,Montgomery St
OSO Salon,Montgomery St
Michael Fine Art and Antiques,Montgomery St
Leica,Montgomery St
Victoria's Secret,Powell St
City Copy,Powell St
San Francisco Deli & Wine,Powell St
Thi,Powell St
Men's Wearhouse,Powell St
Posh Bagel,Montgomery St
Smoke & Mirrors Salon,Montgomery St
Tailored Salon,Montgomery St
Allen Edmonds,Montgomery St
Nobel Shoes,Montgomery St
BLOOMING ALLEY,Montgomery St
Richard's Hair Design,Montgomery St
Sheng Kee,Union City
Daiso Japan,Union City
Valencia Cyclery Repair Shop,24th St/Mission
,19th St/Oakland
Alpine Bakery,Concord
Parkside Market,Pittsburg Center
510 Smoke & Head Shop,12th St/Oakland City Center
Cooks Collision of Dublin,Dublin/Pleasanton
La Rancho Market,24th St/Mission
SKH Beauty Salon,MacArthur
Kabuki hair,Powell St
Replica Copy,Downtown Berkeley
Viv & Ingrid,Downtown Berkeley
See's Candies,Fremont
See's Candies,Rockridge
Cash & Carry,Lake Merritt
Rivendell Bike Book & Hatchet,Walnut Creek
FedEx Office,16th St/Mission
Harvest Urban Market,Civic Center/UN Plaza
Sunshine,Downtown Berkeley
Quoc Long Jewelry,Civic Center/UN Plaza
Rainbow Market & Deli,Civic Center/UN Plaza
Smart & Final,Fremont
Izzy's Beauty Shop,24th St/Mission
Mission Ink 22nd,24th St/Mission
Guerrero Market,24th St/Mission
Maisonry,24th St/Mission
Tula,24th St/Mission
Apothecarium,Montgomery St
Kwik & Convenient Liquor Supermarket,Fremont
Allegro Music,Fremont
Pet Food Express,Fremont
Sleek Salon,Fremont
Massage Envy,Fremont
Saxology,Downtown Berkeley
U-Save Plumbing and Hardware,24th St/Mission
Steel & Strand,24th St/Mission
Steel & Lacquer,Civic Center/UN Plaza
Purple Heart Patient Center,12th St/Oakland City Center
Prime Smoked Meats,Lake Merritt
Wag Hotel,Lake Merritt
